id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
6181	0.9465147359703577	-0.07356223962268811	6.520064538075903	1.05882839672168e-5	8.682392853117776e-5	3.270900354979312	Cell2_inhibitor1 - Cell2_DMSO
2333	0.5451101561365277	0.031966579249298216	6.51609796797232	1.0660417362588725e-5	8.727465679774731e-5	3.2639132281005656	Cell2_inhibitor1 - Cell2_DMSO
2304	-0.6500347425034867	-0.051701908705425716	-6.511773694907659	1.0739642157890568e-5	8.778189828089333e-5	3.256293533942034	Cell2_inhibitor1 - Cell2_DMSO
6147	-1.1931847911659803	-0.17995611637994516	-6.507916805779617	1.081082409842018e-5	8.822187755436307e-5	3.249495229630221	Cell2_inhibitor1 - Cell2_DMSO
5986	-0.9495028573788338	-0.08089664714501825	-6.504631947106137	1.087183818991826e-5	8.857760473965454e-5	3.243703591111866	Cell2_inhibitor1 - Cell2_DMSO
1194	0.4666498046891483	0.020716314909054862	6.495565236267472	1.1042124240938272e-5	8.982105542548827e-5	3.2277100645875825	Cell2_inhibitor1 - Cell2_DMSO
1243	0.6172272856546281	-0.037330068203575685	6.492981428389745	1.109116141024488e-5	9.007582206019964e-5	3.223150195349894	Cell2_inhibitor1 - Cell2_DMSO
3150	-0.4994679332802263	0.011182351955340033	-6.489559038624995	1.1156464909852011e-5	9.046167081608871e-5	3.217108991134645	Cell2_inhibitor1 - Cell2_DMSO
3409	0.5094208033485338	0.17547917388729997	6.481441755972575	1.1312967359343619e-5	9.158459562882638e-5	3.202773902844034	Cell2_inhibitor1 - Cell2_DMSO
2653	0.8664011236761512	-0.17480407084283062	6.479377952654448	1.1353123041068847e-005	9.176355729855966e-5	3.19912778632293	Cell2_inhibitor1 - Cell2_DMSO
6203	-0.7338469854674297	-0.11586407366202442	-6.476268559962627	1.141390482004032e-5	9.210840016680156e-5	3.193633320891771	Cell2_inhibitor1 - Cell2_DMSO
5064	-0.9480952646683339	-0.008472632542386628	-6.4650567641180015	1.1635913962103051e-5	9.375116732699193e-5	3.1738104049233913	Cell2_inhibitor1 - Cell2_DMSO
1473	0.780304835705571	-0.11133656306334277	6.46070255617432	1.1723347577456506e-5	9.43061694363748e-5	3.1661073161116216	Cell2_inhibitor1 - Cell2_DMSO
3670	-1.008536187866796	0.1992313225475815	-6.440768306591965	1.2132501182222608e-5	9.732430298248577e-5	3.1308080088361807	Cell2_inhibitor1 - Cell2_DMSO
4152	1.0716414715425162	0.05780022774368159	6.440561519207515	1.2136822991915023e-5	9.732430298248577e-5	3.130441545587556	Cell2_inhibitor1 - Cell2_DMSO
1193	-1.635474523454211	-0.3311873298100109	-6.433119675392166	1.2293432923459166e-5	9.842490233522266e-5	3.1172493829923047	Cell2_inhibitor1 - Cell2_DMSO
1957	-1.8231833851865114	-0.11894505281879791	-6.41996713899849	1.257541438472023e-5	1.0052422442125417e-4	3.0939152212003718	Cell2_inhibitor1 - Cell2_DMSO
608	1.112470164465051	-0.058348363564446316	6.409870241097726	1.2796472708363283e-5	1.021307178168272e-4	3.0759859661755558	Cell2_inhibitor1 - Cell2_DMSO
2361	1.8730153080049625	-0.1772839132981273	6.405864652473408	1.288529275702876e-5	1.0267841438359594e-4	3.0688692781864075	Cell2_inhibitor1 - Cell2_DMSO
354	0.5905362576978592	-0.007716216480920974	6.404893397855868	1.2906926389417381e-5	1.0268984939561498e-4	3.067143327510318	Cell2_inhibitor1 - Cell2_DMSO
4040	0.9623133214620501	0.17617848004386852	6.401713659930864	1.2978017797241864e-5	1.0309412887684005e-4	3.0614919228330626	Cell2_inhibitor1 - Cell2_DMSO
870	-1.0790248746171516	-0.10911648479774153	-6.3959811139015885	1.3107220861803352e-5	1.0392886162790661e-4	3.0512998519961316	Cell2_inhibitor1 - Cell2_DMSO
6122	-0.7559929202584519	-0.015383405171806154	-6.395241741700369	1.312398291996775e-5	1.0392886162790661e-4	3.0499849701090467	Cell2_inhibitor1 - Cell2_DMSO
2786	1.11644813668594	0.04313196087599044	6.389942304851741	1.3244782964612274e-5	1.0472235861911167e-4	3.0405583766992974	Cell2_inhibitor1 - Cell2_DMSO
5518	0.6764078849420214	0.016545335508639052	6.3876183220139175	1.3298124237683643e-5	1.0498084413724168e-4	3.0364232771264215	Cell2_inhibitor1 - Cell2_DMSO
5707	0.6726428837460154	-0.01628272502718077	6.381637099337148	1.3436444418884255e-5	1.0590834639629078e-4	3.0257773763479276	Cell2_inhibitor1 - Cell2_DMSO
1842	-0.6402237293213194	0.03187222498111028	-6.3794126689435675	1.3488269215261764e-5	1.0615226113063594e-4	3.021816886335272	Cell2_inhibitor1 - Cell2_DMSO
4879	-1.3165922798745375	-0.07988110567485052	-6.367200948433108	1.3776526847063133e-5	1.0825326505482066e-4	3.0000623923438186	Cell2_inhibitor1 - Cell2_DMSO
2606	-0.7999702711799617	-0.1826239529123917	-6.353285159316306	1.4112880002322864e-005	1.1072512643797753e-4	2.9752472061761557	Cell2_inhibitor1 - Cell2_DMSO
2744	-0.4409066378060972	0.2910658512461564	-6.351024522835946	1.4168326860824608e-5	1.107622381521199e-4	2.9712134370052725	Cell2_inhibitor1 - Cell2_DMSO
770	-0.7496037083820393	-0.13692398799357738	-6.350609789654446	1.4178523771255585e-5	1.107622381521199e-4	2.9704733311749285	Cell2_inhibitor1 - Cell2_DMSO
742	1.1791797890049749	0.07041880828211412	6.350429067885797	1.4182969519478767e-5	1.107622381521199e-4	2.970150819481778	Cell2_inhibitor1 - Cell2_DMSO
4110	-0.39120704960356834	0.0989306081285851	-6.345162076905856	1.43131797422696e-5	1.1160767762223719e-4	2.960749503913976	Cell2_inhibitor1 - Cell2_DMSO
4833	0.9502937748569577	-0.06415449837956327	6.3437880842615835	1.4347352689306398e-5	1.1170281940648351e-4	2.9582963689976927	Cell2_inhibitor1 - Cell2_DMSO
1758	-0.5310318597065846	-0.18958817839823774	-6.342406073152952	1.4381811148271842e-5	1.117998897214282e-4	2.9558286562744973	Cell2_inhibitor1 - Cell2_DMSO
