id	Phos_number	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
9021	2	0.15164104002471657	0.1331505923477955	1.2731251130057815	0.2252319014728239	0.41429245453031016	-6.599655186275473	Cell2_inhibitor1 - Cell2_DMSO
6781	1	0.3070915905694507	-0.03857300143832849	1.2710139066640611	0.22595885240764407	0.4154920308257076	-6.6022172059283	Cell2_inhibitor1 - Cell2_DMSO
4400	3	0.6813619532721368	-0.36161282838553255	1.2684091327820577	0.22685833187003815	0.41700795285839243	-6.6053736240988155	Cell2_inhibitor1 - Cell2_DMSO
7552	2	0.7536303803499542	-0.23326897160387647	1.2672881880931193	0.22724629373203195	0.4175829181877067	-6.6067304119311245	Cell2_inhibitor1 - Cell2_DMSO
7417	1	-0.6247921460691985	0.320450573397217	-1.266852490092277	0.22739723259401956	0.41772209889542944	-6.607257527014218	Cell2_inhibitor1 - Cell2_DMSO
4943	1	-0.3739083046765044	-0.16418979252477073	-1.2656823354242481	0.22780300474001008	0.41832915415892763	-6.6086725010732295	Cell2_inhibitor1 - Cell2_DMSO
7635	1	0.5265150246251163	0.4738992503442552	1.2652949534604665	0.22793746342051546	0.41837238117571424	-6.6091407062545375	Cell2_inhibitor1 - Cell2_DMSO
2573	1	0.9706806856807676	-0.49891733410869854	1.2651805821247246	0.22797717332473214	0.41837238117571424	-6.609278918600282	Cell2_inhibitor1 - Cell2_DMSO
6235	1	-0.2551329148344269	0.022277220045209142	-1.2627700159785025	0.22881540819217122	0.4197719922415823	-6.612189704856863	Cell2_inhibitor1 - Cell2_DMSO
4577	1	0.43058300017392925	-0.10806545988505364	1.2608446066601664	0.22948669851577996	0.42086451312484574	-6.614511544028247	Cell2_inhibitor1 - Cell2_DMSO
6159	1	-0.4949739290904044	0.6529788992303152	-1.2596846265429131	0.22989187905793523	0.42146844493954794	-6.615909020230828	Cell2_inhibitor1 - Cell2_DMSO
1867	2	0.6844006791375455	-0.4207429120803281	1.258669292574931	0.23024700147598104	0.4218410597622278	-6.617131409705149	Cell2_inhibitor1 - Cell2_DMSO
1868	2	0.6844006791375455	-0.4207429120803281	1.258669292574931	0.23024700147598104	0.4218410597622278	-6.617131409705149	Cell2_inhibitor1 - Cell2_DMSO
7221	1	0.2102377676746749	-0.051318594177676397	1.2583302651177937	0.23036567652900927	0.42191933172391904	-6.617539402815746	Cell2_inhibitor1 - Cell2_DMSO
1670	2	-0.8467037781363134	-0.3052390437746449	-1.256523304973893	0.23099901519346258	0.42280050392081864	-6.619712487577107	Cell2_inhibitor1 - Cell2_DMSO
1671	2	-0.8467037781363134	-0.3052390437746449	-1.256523304973893	0.23099901519346258	0.42280050392081864	-6.619712487577107	Cell2_inhibitor1 - Cell2_DMSO
5991	1	-1.3914748535835446	-0.5149445422692569	-1.254207947735838	0.23181256765521968	0.42414980676045627	-6.6224934061620235	Cell2_inhibitor1 - Cell2_DMSO
3795	2	-0.16828726206370614	0.18494758812629022	-1.2516931227415249	0.23269878273849418	0.42549102637009056	-6.625509346089097	Cell2_inhibitor1 - Cell2_DMSO
3796	2	-0.16828726206370614	0.18494758812629022	-1.2516931227415249	0.23269878273849418	0.42549102637009056	-6.625509346089097	Cell2_inhibitor1 - Cell2_DMSO
